AutoMakeID,AutoModelID,auto_model
11,1,93
11,2,95
3,3,3 Series
11,4,92x
2,5,A3
2,6,A5
7,7,Accord
9,8,C300
13,9,Camry
7,10,Civic
13,11,Corolla
7,12,CRV
9,13,E400
6,14,Escape
6,15,F150
12,16,Forrestor
6,17,Fusion
8,18,Grand Cherokee
13,19,Highlander
12,20,Impreza
14,21,Jetta
12,22,Legacy
3,23,M5
4,24,Malibu
10,25,Maxima
1,26,MDX
9,27,ML350
5,28,Neon
14,29,Passat
10,30,Pathfinder
5,31,RAM
1,32,RSX
4,33,Silverado
4,34,Tahoe
1,35,TL
10,36,Ultima
8,37,Wrangler
3,38,X5
3,39,X6
